"$\omega,\chi$",0.2,0.4,0.6,0.8,1,2,3,4,5,6,7,8
0.1,0.933,0.935,0.936,0.938,0.939,0.946,0.951,0.955,0.958,0.961,0.963,0.966
0.2,0.914,0.918,0.922,0.925,0.929,0.941,0.95,0.956,0.961,0.965,0.968,0.97
0.3,0.894,0.901,0.907,0.913,0.918,0.936,0.948,0.956,0.961,0.966,0.969,0.972
0.4,0.873,0.884,0.893,0.901,0.908,0.932,0.946,0.955,0.961,0.966,0.97,0.973
0.5,0.852,0.866,0.879,0.89,0.898,0.927,0.943,0.954,0.961,0.966,0.97,0.973
0.6,0.83,0.849,0.865,0.878,0.889,0.923,0.941,0.952,0.96,0.965,0.969,0.973
0.7,0.808,0.833,0.852,0.868,0.88,0.919,0.939,0.951,0.959,0.965,0.969,0.972
0.8,0.787,0.816,0.839,0.857,0.872,0.915,0.936,0.949,0.958,0.964,0.968,0.972
0.9,0.765,0.8,0.827,0.848,0.864,0.911,0.934,0.948,0.957,0.963,0.968,0.971
1,0.745,0.785,0.815,0.838,0.856,0.908,0.932,0.946,0.955,0.962,0.967,0.971
2,0.567,0.661,0.723,0.766,0.798,0.88,0.914,0.933,0.946,0.954,0.96,0.965
3,0.447,0.58,0.664,0.72,0.76,0.861,0.902,0.924,0.938,0.948,0.955,0.96
4,0.366,0.524,0.622,0.687,0.733,0.847,0.893,0.918,0.933,0.944,0.951,0.957
5,0.309,0.484,0.592,0.663,0.713,0.837,0.886,0.912,0.929,0.94,0.948,0.954
6,0.269,0.454,0.568,0.644,0.698,0.828,0.88,0.908,0.925,0.937,0.946,0.952
7,0.238,0.43,0.55,0.629,0.685,0.821,0.875,0.904,0.922,0.935,0.944,0.95
8,0.215,0.41,0.534,0.617,0.675,0.816,0.871,0.901,0.92,0.933,0.942,0.949
9,0.196,0.394,0.521,0.606,0.666,0.811,0.868,0.899,0.918,0.931,0.94,0.948
10,0.181,0.381,0.51,0.597,0.658,0.806,0.865,0.897,0.916,0.929,0.939,0.946
11,0.169,0.37,0.501,0.589,0.651,0.802,0.862,0.895,0.914,0.928,0.938,0.945
12,0.159,0.36,0.493,0.582,0.645,0.799,0.86,0.893,0.913,0.927,0.937,0.944
13,0.15,0.351,0.485,0.576,0.64,0.796,0.858,0.891,0.912,0.926,0.936,0.944
14,0.142,0.343,0.479,0.57,0.635,0.793,0.856,0.89,0.91,0.925,0.935,0.943
15,0.135,0.336,0.473,0.565,0.631,0.791,0.854,0.888,0.909,0.924,0.934,0.942
